Movie Title,Release Date,Genre (1),Director (1),Cast (1),Budget ($),Box Office Revenue ($),Profit
10 Cloverfield Lane,08/03/2016,Thriller,Dan Trachtenberg,Mary Elizabeth Winstead,15000000,108300000,93300000
13 Hours: The Secret Soldiers of Benghazi,15/01/2016,Action,Michael Bay,James Badge Dale,45000000,69400000,24400000
2 Guns,02/08/2013,Action,Baltasar Kormákur,Mark Wahlberg,61000000,131900000,70900000
21 Jump Street,16/03/2012,Comedy,Phil Lord,Jonah Hill,55000000,201500000,146500000
22 Jump Street,04/06/2014,Action,Phil Lord,Channing Tatum,84500000,331300000,246800000
300: Rise of an Empire,04/03/2014,Action,Noam Murro,Rodrigo Santoro,110000000,337600000,227600000
42,12/04/2013,Biography,Brian Helgeland,Harrison Ford,40000000,97500000,57500000
71,07/02/2014,Action,Yann Demange,Jack O'Connell,8100000,2900000,-5200000
90 Minutes in Heaven,11/09/2015,Drama,Michael Polish,Hayden Christensen,5000000,4800000,-200000
A Good Day to Die Hard,14/02/2013,Action,John Moore,Bruce Willis,92000000,304700000,212700000
A Haunted House,11/01/2013,Comedy,Michael Tiddes,Marlon Wayans,2500000,60100000,57600000
A Haunted House 2,18/04/2014,Comedy,Michael Tiddes,Marlon Wayans,4000000,24000000,20000000
A Long Way Down,10/02/2014,Comedy,Pascal Chaumeil,Toni Collette,22700000,7100000,-15600000
A Most Violent Year,06/11/2014,Action,J. C. Chandor,Oscar Isaac,20000000,12000000,-8000000
A Most Wanted Man,19/01/2014,Thriller,Anton Corbijn,Philip Seymour Hoffman,15000000,36200000,21200000
A Thousand Words,09/03/2012,Comedy,Brian Robbins,Eddie Murphy,40000000,22000000,-18000000
A Walk Among the Tombstones,19/09/2014,Crime,Scott Frank,Liam Neeson,28000000,58800000,30800000
A Walk in the Woods,23/01/2015,Adventure,Ken Kwapis,Robert Redford,8000000,36000000,28000000
Abraham Lincoln: Vampire Hunter,22/06/2012,Horror,Timur Bekmambetov,Benjamin Walker,99500000,116400000,16900000
After Earth,31/05/2013,Sci-Fi,M. Night Shyamalan,Jaden Smith,130000000,243800000,113800000
Ain't Them Bodies Saints,16/08/2013,Drama,David Lowery,Casey Affleck,4000000,1000000,-3000000
Alex Cross,19/10/2012,Crime,Rob Cohen,Tyler Perry,35000000,34600000,-400000
Aloha,27/05/2015,Romance,Cameron Crowe,Bradley Cooper,52000000,26300000,-25700000
Alvin and the Chipmunks: The Road Chip,18/12/2015,Comedy,Walt Becker,Jason Lee,90000000,234800000,144800000
American Reunion,06/04/2012,Comedy,Jon Hurwitz,Alyson Hannigan,50000000,235000000,185000000
American Sniper,11/11/2014,Drama,Clint Eastwood,Bradley Cooper,58800000,547400000,488600000
American Ultra,21/08/2015,Action,Nima Nourizadeh,Jesse Eisenberg,28000000,27100000,-900000
Amy,16/06/2015,Biography,Asif Kapadia,Amy Winehouse,3400000,22000000,18600000
Annabelle,26/09/2014,Horror,John R. Leonetti,Annabelle Wallis,6500000,256900000,250400000
Annie,07/12/2014,Comedy,Will Gluck,Quvenzhané Wallis,65000000,133800000,68800000
Ant-Man,29/06/2015,Action,Peyton Reed,Paul Rudd,130000000,519400000,389400000
Argo,12/10/2012,Drama,Ben Affleck,Ben Affleck,44500000,232300000,187800000
"As Above, So Below",29/08/2014,Horror,John Erick Dowdle,Drew Dowdle (screenplay)Perdita Weeks,5000000,5000000,0
Bad Moms,29/07/2016,Comedy,Jon Lucas,Mila Kunis,20000000,124200000,104200000
Barbershop: The Next Cut,15/04/2016,Comedy,Malcolm D. Lee,Ice Cube,20000000,55000000,35000000
Batman v Superman: Dawn of Justice,19/03/2016,Action,Zack Snyder,Ben Affleck,250000000,872700000,622700000
Batman: The Killing Joke,25/07/2016,Action,Sam Liu,Kevin Conroy,3500000,4400000,900000
Battle of the Year,20/09/2013,Musical,Benson Lee,Josh Holloway,20000000,16500000,-3500000
Battleship,18/05/2012,Action,Peter Berg,Alexander Skarsgård,220000000,303000000,83000000
Beasts of the Southern Wild,27/06/2012,Drama,Benh Zeitlin,Quvenzhané Wallis,1800000,21900000,20100000
Beautiful Creatures,14/02/2013,Fantasy,Richard LaGravenese,Viola Davis,60000000,60100000,100000
Before I Go to Sleep,04/09/2014,Mystery,Rowan Joffé,Nicole Kidman,22000000,15100000,-6900000
Ben-Hur,19/08/2016,Adventure,Timur Bekmambetov,Jack Huston,100000000,41400000,-58600000
Beyond the Lights,06/09/2014,Romance,Gina Prince-Bythewood,Gugu Mbatha-Raw,7000000,14600000,7600000
Big Eyes,25/12/2014,Biography,Tim Burton,Amy Adams,10000000,29300000,19300000
